model,term,auroc,auprc,n_pos,variant,is_fallback,control,library
BulkFormer_93M,negative regulation of cellular process (GO:0048523),0.5890909140374038,0.0464810814869267,454,osdr_common,False,real,GO-BP
BulkFormer_93M,protein phosphorylation (GO:0006468),0.648572309000581,0.0572301652290927,449,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of intracellular signal transduction (GO:1902533),0.6292282096753324,0.050914464425533,446,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6344806553247762,0.0530637602539099,441,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6457659687626419,0.0560825413006752,436,osdr_common,False,real,GO-BP
BulkFormer_93M,cytokine-mediated signaling pathway (GO:0019221),0.7206244065218367,0.0848539086449772,431,osdr_common,False,real,GO-BP
BulkFormer_93M,protein ubiquitination (GO:0016567),0.6837432355141009,0.0635002669967895,420,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of gene expression (GO:0010628),0.6084963565996375,0.0449572416167834,397,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of apoptotic process (GO:0043066),0.6589455638586105,0.0569437930893236,392,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of cell population proliferation (GO:0008284),0.6385161878613586,0.0453809939339729,391,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of intracellular signal transduction (GO:1902531),0.610298131083785,0.0449101872550431,382,osdr_common,False,real,GO-BP
BulkFormer_93M,nervous system development (GO:0007399),0.6657884180382878,0.0530428708200121,381,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of nucleic acid-templated transcription (GO:1903507),0.642570056077347,0.0484396446967932,378,osdr_common,False,real,GO-BP
BulkFormer_93M,neutrophil mediated immunity (GO:0002446),0.8114428079816172,0.1318505070414269,362,osdr_common,False,real,GO-BP
BulkFormer_93M,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.6426932502924119,0.0444899194573852,361,osdr_common,False,real,GO-BP
BulkFormer_93M,neutrophil activation involved in immune response (GO:0002283),0.8059516828683656,0.1330985952051181,359,osdr_common,False,real,GO-BP
BulkFormer_93M,phosphorylation (GO:0016310),0.661420514137717,0.0518103193149152,358,osdr_common,False,real,GO-BP
BulkFormer_93M,neutrophil degranulation (GO:0043312),0.8105124876466476,0.1291218209366745,356,osdr_common,False,real,GO-BP
