model,library,term,n_positive,auroc,auprc,shuffled_auroc
s66qfh36_best,GO_BP,positive regulation of intracellular signal transduction (GO:1902533),472,0.6868549371396276,0.07424056997369789,0.49977558456238236
s66qfh36_best,GO_BP,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),471,0.6699587722405778,0.0698456298982027,0.5062795064959477
s66qfh36_best,GO_BP,protein phosphorylation (GO:0006468),471,0.6591727095488382,0.06435468120155906,0.4918698231839422
s66qfh36_best,GO_BP,cytokine-mediated signaling pathway (GO:0019221),457,0.7652943347595557,0.1480707879491067,0.5043186777228621
s66qfh36_best,GO_BP,positive regulation of nucleic acid-templated transcription (GO:1903508),457,0.6856249815842079,0.0744930338166679,0.4722755095552761
s66qfh36_best,GO_BP,protein ubiquitination (GO:0016567),455,0.6961035421494606,0.06663397677700802,0.4752371919463756
s66qfh36_best,GO_BP,positive regulation of gene expression (GO:0010628),414,0.6452550474097604,0.05539731819560405,0.5173864232536691
s66qfh36_best,GO_BP,negative regulation of apoptotic process (GO:0043066),411,0.6490793583352411,0.05462380710639905,0.5123717024548841
s66qfh36_best,GO_BP,positive regulation of cell population proliferation (GO:0008284),409,0.6858914292799634,0.07192208228400633,0.4999390393639923
s66qfh36_best,GO_BP,nervous system development (GO:0007399),408,0.6979096992282329,0.07410328762304731,0.5029723698222844
s66qfh36_best,GO_BP,negative regulation of nucleic acid-templated transcription (GO:1903507),397,0.6813978871173889,0.06471584841861168,0.49756323449157314
s66qfh36_best,GO_BP,regulation of intracellular signal transduction (GO:1902531),397,0.6435711378031069,0.04751411130523535,0.5156126844061584
s66qfh36_best,GO_BP,phosphorylation (GO:0016310),377,0.6771151462811447,0.05687942942941132,0.5042313206707754
s66qfh36_best,GO_BP,neutrophil mediated immunity (GO:0002446),375,0.7708566328447951,0.13502040429920786,0.5184314167606163
s66qfh36_best,GO_BP,neutrophil activation involved in immune response (GO:0002283),372,0.7727164267290845,0.1359198350971418,0.5119124180481542
s66qfh36_best,GO_BP,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),371,0.6998111346805105,0.055687356858854606,0.5248834378007092
s66qfh36_best,GO_BP,neutrophil degranulation (GO:0043312),369,0.7737716217139633,0.1368259637309068,0.48838360759998645
s66qfh36_best,GO_BP,organelle assembly (GO:0070925),365,0.6796513321488581,0.04978886383197081,0.4956400121148285
s66qfh36_best,GO_BP,cellular response to cytokine stimulus (GO:0071345),364,0.7683854904512512,0.11548857685511224,0.5077197937597149
s66qfh36_best,GO_BP,organelle organization (GO:0006996),362,0.6624081863634509,0.04219417503113073,0.5132345820182374
s66qfh36_best,GO_BP,regulation of cell migration (GO:0030334),358,0.761413707812068,0.09481205010964748,0.5029434880953176
s66qfh36_best,GO_BP,regulation of cellular macromolecule biosynthetic process (GO:2000112),345,0.6483906338210448,0.051469440537408456,0.4886043056379278
s66qfh36_best,GO_BP,protein modification by small protein conjugation (GO:0032446),344,0.6969038847984512,0.04774973318353645,0.503045958969177
s66qfh36_best,GO_BP,cellular protein metabolic process (GO:0044267),333,0.7043605358906749,0.1540885803695241,0.5104081881516194
s66qfh36_best,GO_BP,positive regulation of macromolecule metabolic process (GO:0010604),330,0.656878257889707,0.044353276204992104,0.5357617049897727
s66qfh36_best,GO_BP,positive regulation of protein phosphorylation (GO:0001934),330,0.6979332554313239,0.05061150954895855,0.46653959699545144
s66qfh36_best,GO_BP,negative regulation of programmed cell death (GO:0043069),329,0.6577974690786375,0.049404351042122,0.4946267341431018
s66qfh36_best,GO_BP,negative regulation of cell population proliferation (GO:0008285),327,0.6560255815551662,0.056109230585662424,0.4830505016664949
s66qfh36_best,GO_BP,ubiquitin-dependent protein catabolic process (GO:0006511),325,0.7435362362675942,0.0610497390485711,0.49538655979605284
s66qfh36_best,GO_BP,cellular response to DNA damage stimulus (GO:0006974),320,0.7401707376991647,0.04860020468921459,0.5208118375798414
s66qfh36_best,GO_BP,post-translational protein modification (GO:0043687),316,0.6351129922927904,0.03941909857049806,0.48287961582087513
s66qfh36_best,GO_BP,protein transport (GO:0015031),316,0.6945746201243705,0.05388256178348175,0.48339090572369336
s66qfh36_best,GO_BP,supramolecular fiber organization (GO:0097435),313,0.7035231632755068,0.10019455945403535,0.5025915039374632
s66qfh36_best,GO_BP,regulation of nucleic acid-templated transcription (GO:1903506),306,0.6423458007189038,0.04474277703799315,0.5175211612822209
s66qfh36_best,GO_BP,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),297,0.7344543307402452,0.05234487566230651,0.4748557756967007
s66qfh36_best,GO_BP,positive regulation of multicellular organismal process (GO:0051240),296,0.6721157251428431,0.04189526000679326,0.4930545691792276
s66qfh36_best,GO_BP,gene expression (GO:0010467),294,0.8184355504970853,0.14376332182627946,0.47972552714773287
s66qfh36_best,GO_BP,transcription by RNA polymerase II (GO:0006366),293,0.6760840134644197,0.043414570568950234,0.5161101044836288
s66qfh36_best,GO_BP,intracellular protein transport (GO:0006886),288,0.7202809973465306,0.04731455794893971,0.4979101983487795
s66qfh36_best,GO_BP,cellular protein localization (GO:0034613),286,0.6772884702301409,0.043252982294360226,0.472096281283313
s66qfh36_best,GO_BP,cilium assembly (GO:0060271),285,0.7416779064311108,0.09063554125968393,0.5056250414581476
s66qfh36_best,GO_BP,negative regulation of gene expression (GO:0010629),283,0.6356453587151306,0.03548630702557599,0.49940010469100815
s66qfh36_best,GO_BP,protein polyubiquitination (GO:0000209),283,0.7198016412146137,0.04444118895861116,0.537250406444533
s66qfh36_best,GO_BP,MAPK cascade (GO:0000165),282,0.6335378825678875,0.036046182866576765,0.4988203665502424
s66qfh36_best,GO_BP,positive regulation of apoptotic process (GO:0043065),275,0.6431465791415413,0.031051591448675583,0.4764537058239829
s66qfh36_best,GO_BP,extracellular matrix organization (GO:0030198),273,0.8414104434812425,0.1808316086542388,0.5151617190234792
s66qfh36_best,GO_BP,DNA repair (GO:0006281),267,0.7901343600220005,0.05374019262535964,0.5019962808726854
s66qfh36_best,GO_BP,chemical synaptic transmission (GO:0007268),265,0.7618720696142246,0.09693163313573744,0.5237541655343098
s66qfh36_best,GO_BP,positive regulation of cytokine production (GO:0001819),263,0.7505970304777945,0.09836671494970069,0.5198120550182458
s66qfh36_best,GO_BP,cellular response to oxygen-containing compound (GO:1901701),262,0.6565299060009445,0.04075901753019567,0.48293822423697474
s66qfh36_best,GO_BP,cellular macromolecule biosynthetic process (GO:0034645),260,0.8132968799565571,0.16956974652096252,0.49305020135382893
s66qfh36_best,GO_BP,mRNA processing (GO:0006397),259,0.8836296458605656,0.15307680837034432,0.4747615341688588
s66qfh36_best,GO_BP,regulation of cell cycle (GO:0051726),255,0.664349401023685,0.037381808618524366,0.48291876280976337
s66qfh36_best,GO_BP,DNA metabolic process (GO:0006259),254,0.8126103355190014,0.07635114295271418,0.48443818762855856
s66qfh36_best,GO_BP,inorganic cation transmembrane transport (GO:0098662),254,0.7267472277556166,0.055837704466510346,0.5127732016101215
s66qfh36_best,GO_BP,positive regulation of programmed cell death (GO:0043068),254,0.6426006642273887,0.028477043702195306,0.5156465324458631
s66qfh36_best,GO_BP,plasma membrane bounded cell projection assembly (GO:0120031),253,0.6792871458385914,0.03730681356284471,0.5076209973817059
s66qfh36_best,GO_BP,central nervous system development (GO:0007417),249,0.6460668768102161,0.036130794464854135,0.49968557004943925
s66qfh36_best,GO_BP,protein-containing complex assembly (GO:0065003),246,0.6441453025660765,0.028044399349400347,0.482160770214643
s66qfh36_best,GO_BP,negative regulation of signal transduction (GO:0009968),245,0.6955491622706895,0.0514915003248136,0.4649034309995469
s66qfh36_best,GO_BP,regulation of protein phosphorylation (GO:0001932),241,0.6887900187860275,0.034004814245414204,0.49511928229612406
s66qfh36_best,GO_BP,"mRNA splicing, via spliceosome (GO:0000398)",240,0.8877396407715037,0.15396131140404473,0.523286742979456
s66qfh36_best,GO_BP,protein modification by small protein removal (GO:0070646),239,0.7578653378468354,0.04649870549329168,0.46229316036248186
s66qfh36_best,GO_BP,cellular component assembly (GO:0022607),237,0.6061109295361594,0.028481114982931294,0.5107240129438404
s66qfh36_best,GO_BP,proteolysis (GO:0006508),237,0.63565445010762,0.037119807598891386,0.4717744191319147
s66qfh36_best,GO_BP,regulation of canonical Wnt signaling pathway (GO:0060828),237,0.6569210973408594,0.026791295283645225,0.48999767387764603
s66qfh36_best,GO_BP,positive regulation of cell differentiation (GO:0045597),236,0.7213815256484402,0.052939160817992645,0.4791528439592255
s66qfh36_best,GO_BP,positive regulation of cell migration (GO:0030335),234,0.7665121609864509,0.06284500322336002,0.5275370148739297
s66qfh36_best,GO_BP,axonogenesis (GO:0007409),231,0.7587866467609771,0.061884427090136335,0.5112038956207483
s66qfh36_best,GO_BP,positive regulation of phosphorylation (GO:0042327),231,0.7162711497951453,0.042860245274457726,0.5198087580202535
s66qfh36_best,GO_BP,protein deubiquitination (GO:0016579),230,0.7529299380441605,0.043577147751383105,0.4924819030116664
s66qfh36_best,GO_BP,positive regulation of MAPK cascade (GO:0043410),226,0.7161782574004973,0.03642438978212938,0.5029058340681738
s66qfh36_best,GO_BP,positive regulation of signal transduction (GO:0009967),226,0.6888566909775982,0.0409118518387051,0.5038092405399952
s66qfh36_best,GO_BP,membrane organization (GO:0061024),222,0.6787663404080274,0.03945323002181819,0.4935972919590905
s66qfh36_best,GO_BP,positive regulation of DNA-binding transcription factor activity (GO:0051091),219,0.644881058311788,0.03591687082823048,0.5212382232643755
s66qfh36_best,GO_BP,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",218,0.9003523564919335,0.16007854683468767,0.48651154285597376
s66qfh36_best,GO_BP,anterograde trans-synaptic signaling (GO:0098916),208,0.7784366679702359,0.07606483716994075,0.49076497184826456
s66qfh36_best,GO_BP,regulation of autophagy (GO:0010506),206,0.6851234769463954,0.029588205061884428,0.4997278903286477
s66qfh36_best,GO_BP,cilium organization (GO:0044782),205,0.7331890388253556,0.08091830240008213,0.4826666576093417
s66qfh36_best,GO_BP,external encapsulating structure organization (GO:0045229),199,0.8607454729102082,0.1601111218813704,0.4747911327237524
s66qfh36_best,GO_BP,extracellular structure organization (GO:0043062),199,0.8600145073921949,0.16361396743679135,0.48713605611576816
s66qfh36_best,GO_BP,axon guidance (GO:0007411),197,0.7811631677670273,0.06429249445187345,0.4789642126681008
s66qfh36_best,GO_BP,"transcription, DNA-templated (GO:0006351)",194,0.7270350836799527,0.03706415973665884,0.5125489445057707
s66qfh36_best,GO_BP,generation of neurons (GO:0048699),193,0.7403512098341061,0.07188687997464403,0.4939776842326855
s66qfh36_best,GO_BP,negative regulation of multicellular organismal process (GO:0051241),191,0.6970033680334008,0.032224075536361585,0.5055874100813748
s66qfh36_best,GO_BP,positive regulation of cell motility (GO:2000147),191,0.7772345270039944,0.056524151965432146,0.5018690254554566
s66qfh36_best,GO_BP,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),191,0.6891379466067645,0.031237004860043507,0.480533291378592
s66qfh36_best,GO_BP,positive regulation of protein modification process (GO:0031401),190,0.6891603181982919,0.02759312194533751,0.4829175254335324
Txn_Jatin_epoch7,DisGeNET,Malignant neoplasm of breast,3897,0.6652988781652385,0.42431478541653267,0.4891917917298265
Txn_Jatin_epoch7,DisGeNET,Breast Carcinoma,3813,0.67327564085962,0.42692420162135425,0.5060965976784978
Txn_Jatin_epoch7,DisGeNET,Carcinogenesis,3142,0.6801399546206057,0.3808234742978698,0.5011898928472436
Txn_Jatin_epoch7,DisGeNET,Neoplasm Metastasis,2971,0.7019171555924819,0.3832717037392649,0.49722185101026606
Txn_Jatin_epoch7,DisGeNET,Liver carcinoma,2644,0.6911713690329895,0.34226206863107617,0.5064585026994318
Txn_Jatin_epoch7,DisGeNET,Colorectal Cancer,2551,0.661162158804594,0.30603777150419387,0.5120603764430648
Txn_Jatin_epoch7,DisGeNET,Malignant neoplasm of prostate,2505,0.6872144949034116,0.3215791614865694,0.5022856955629447
Txn_Jatin_epoch7,DisGeNET,Prostate carcinoma,2406,0.679272014984877,0.3095902363934341,0.5039644570562466
Txn_Jatin_epoch7,DisGeNET,Colorectal Carcinoma,2241,0.6788705292621982,0.28773448507217286,0.5058283687330134
Txn_Jatin_epoch7,DisGeNET,Intellectual Disability,2210,0.6750050624391911,0.26726112645155964,0.4935303308766314
