gene_symbol,importance
DLGAP1,0.0003629490398309374
CCL28,0.0003616972044324372
EPM2A,0.00035997300708795097
FBLN1,0.000359142788027066
USHBP1,0.0003581464652909321
MMEL1,0.0003571871413421969
GALNT17,0.0003563610577522629
PTGIS,0.00035491450561932095
PKM,0.00035163691724155957
ACE2,0.0003491189375956685
FZD7,0.0003478415750322797
P4HB,0.00034634684268296413
SCN3A,0.0003441778093531431
FGFBP1,0.00034392207029439826
ADRA1B,0.00034191922026805194
MYH14,0.0003413380182193289
CD302,0.00034023834528818913
MAML2,0.00033959352197723743
NOSTRIN,0.00033836619654542083
CPEB2,0.000335360331708887
CLDN5,0.0003343178653065533
FTSJ1,0.00033335325354156415
IRF2BPL,0.0003277606689918135
ST8SIA4,0.000324705863126131
GATA2,0.0003231406234359409
CDKN3,0.00032068889752533727
LMO2,0.000318399997654481
FAM13C,0.0003177244336139859
RSPO3,0.0003176285932368799
RSPO1,0.00031762065851609046
PKHD1L1,0.0003167521814479627
DNASE1L3,0.00031644479791795337
SLC7A14,0.0003155149359555266
LRRC3B,0.00031505408207907704
ECT2,0.0003149878578912554
EME1,0.0003149256222925856
TBRG4,0.0003142501851570311
MYH11,0.0003141599736823966
IBSP,0.00031161349113567225
ISM1,0.000310648649732389
CTHRC1,0.0003092431710338907
TTYH3,0.00030829751379549223
PIP5K1B,0.0003078611317695692
SPOCK2,0.00030663847218652006
MRGPRF,0.00030625145057859923
MASP1,0.0003054410454590257
CHTF18,0.00030442272259424604
ACSF2,0.0003023656380528729
WDR62,0.0003016108116040918
SEMA3E,0.00030046581578565884
AK3,0.0002978895153429059
BDH2,0.0002975183484455624
SLC37A4,0.0002968262901421227
CNTFR,0.0002968103893818752
TMEM150B,0.00029571802687578875
CHRNA6,0.00029236210367809785
FEZF1,0.00029213948028769695
PER2,0.00029037808416752824
SLC27A6,0.0002900755377624873
FGF10,0.0002900332599590019
SLC4A9,0.00028971182752830115
METRN,0.00028936528508462597
NPLOC4,0.00028903843033212755
ZBTB4,0.0002883635492083046
SLC12A3,0.00028811492090566153
BOC,0.0002875820305690289
SFRP1,0.00028520704986815794
LIMS2,0.00028283031342787694
CENPA,0.0002828214153581394
KCNC4,0.00028157771681916965
SLC29A2,0.0002810106311545234
ATP6V0D2,0.0002809703891976811
SH3D19,0.000278952230911934
HFM1,0.0002786839682547541
TMEM207,0.00027768864926713376
NDC80,0.00027687200489263957
MYCT1,0.00027652647593974424
RAI2,0.00027584307555818423
SAMD10,0.00027496074214636485
PRX,0.00027318942622172774
NTN1,0.00027029377604443125
PNMA2,0.00027016054127276514
ASAP3,0.0002690799324594482
SLC7A3,0.0002689706796100714
HAS3,0.0002682775969430332
PCCA,0.0002663743713952223
SLC2A4,0.0002655553240190205
TRABD2B,0.0002648212890520207
NDRG2,0.0002647598089694772
DBX2,0.0002644454048057166
COL4A6,0.0002638580150064929
GRIN2D,0.00026277380232359585
DIRAS2,0.0002626513328684976
SEZ6L2,0.00026241058753127946
NRGN,0.00025965436016021063
KDELR1,0.0002593698472811148
TANK,0.00025923555073681636
FRMD3,0.0002589753903368749
SLC5A12,0.0002579818417642986
GJC1,0.00025656536640577236
LBX2,0.000255957801041191
RGS6,0.00025466188298261914
CENPE,0.0002541071369326091
ORC1,0.00025400717869523135
SYNPO2,0.0002538983235827143
ATP1B2,0.0002527927696749425
RTP2,0.0002524302069452593
F10,0.00025224913610137465
SLC39A8,0.00025215031335060217
KCTD13,0.00025211066994782996
CDC14A,0.00025137313811777215
LRRC15,0.00024990900150850657
TUBB3,0.00024899100455347685
IL17B,0.00024851443779619077
CPNE4,0.0002480233637151137
FOXA1,0.00024796563345965843
CFL2,0.0002479397695237937
SLC16A3,0.0002468586790491877
PLOD1,0.0002463269055075223
GLTP,0.0002453986442311346
ACTG2,0.00024527520169667774
KLRG2,0.0002450264627853549
GLB1L3,0.0002444958521901561
MMP14,0.00024448356946610403
NCMAP,0.0002442175820582243
NETO2,0.00024151440675691563
PUS7,0.00024016315659152105
GSPT2,0.00023950694504149602
HOATZ,0.0002375062643010659
SLC17A2,0.0002373565764946468
LPIN1,0.00023692750384299405
MRGPRE,0.00023664423585504542
PTPRB,0.00023630845081506143
NRARP,0.00023565033359938055
BMP6,0.00023447937462937483
TMOD1,0.00023231257463340104
SLC15A2,0.00023039884777609885
SPTBN1,0.0002293895126037598
STAC2,0.00022874584632038607
NYAP1,0.00022516740467080145
CXCL12,0.000224536494428553
EFCC1,0.00022444557341271562
XPR1,0.00022409054179530565
RAPGEF3,0.0002239272864355781
MIOX,0.0002232685399160229
