benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
POMBE intersect concat,AUROC,11/11,complete,0.6192741572054897,0.620779602825616,0.6280288128423178,0.5366579163310999,0.54742400250059,0.5098680257682257,0.5600407885480664,0.5327402205615704,0.5238523542550266,0.5566570532117563,0.5443029277442263
POMBE intersect concat,AUPRC,11/11,complete,0.1516689057123378,0.1519403816098912,0.1473025592224197,0.111320425364364,0.125697444506645,0.1085090984818564,0.1255895088410322,0.1095415204105604,0.1108029638587376,0.1218261796391571,0.1140311635668079
POMBE intersect concat,PR@10,11/11,complete,0.2333333333333333,0.2,0.0666666666666666,0.2,0.1999999999999999,0.0666666666666666,0.1666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0333333333333333
POMBE intersect product,AUROC,11/11,complete,0.5794505526240081,0.5806568855875135,0.599240641760714,0.5456030225813597,0.5139165205573705,0.4756777512906018,0.5771002393216479,0.5596257742697089,0.5699336362397551,0.5701693694786476,0.5896147744853014
POMBE intersect product,AUPRC,11/11,complete,0.1302340043518168,0.1304821052114567,0.138561077556123,0.1153919766285648,0.1172296752469982,0.0997711072536691,0.1330855041516022,0.1186406227809828,0.1241959402116875,0.12941019183812,0.1278787680983559
POMBE intersect product,PR@10,11/11,complete,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.1666666666666666,0.1999999999999999,0.2,0.1,0.0333333333333333,0.1666666666666666,0.2333333333333333,0.0
POMBE intersect sum,AUROC,11/11,complete,0.6196783652446997,0.6222508941840575,0.6217205892579302,0.5375419940138323,0.5601439566755326,0.5270685646921794,0.5642369219211085,0.5464664673601058,0.5552671569601745,0.5544696799389606,0.5905151664790559
POMBE intersect sum,AUPRC,11/11,complete,0.1601957904955457,0.1603924764265905,0.1548040979586682,0.113780736364396,0.1321568072397992,0.1141075823255571,0.1265714368246989,0.119626717260571,0.1219641302173435,0.1263769013068423,0.1314333106269648
POMBE intersect sum,PR@10,11/11,complete,0.2666666666666666,0.2333333333333333,0.2666666666666666,0.1666666666666666,0.1666666666666666,0.0666666666666666,0.1,0.0666666666666666,0.1,0.2,0.0666666666666666
SL all_genes concat,AUROC,11/11,complete,0.6791197984364746,0.7363726066414449,0.6924691198643039,0.5377349113158694,0.4933546615550577,0.6704001214773038,0.6984897135694407,0.6176825063071018,0.6051172863561817,0.7113598306389001,0.6416723715722262
SL all_genes concat,AUPRC,11/11,complete,0.2016259881449247,0.2565334301586899,0.193355562881017,0.1176265689403052,0.0928372574053171,0.1690807018719039,0.2066234114005469,0.1473387624176328,0.1498181036636995,0.1978716409599052,0.1522067953654488
