gene_symbol,discovery_variance,discovery_detection_rate,panel_score,excluded_signature_gene
SOX6,0.64378345,0.46795398520953163,0.4403939895019422,False
ADGRD1,0.6961706,0.40016433853738703,0.44038740287373596,False
SYNGR3,0.5771779,0.5821692686935086,0.44038682574215876,False
PLEKHO2,0.44016564,1.0,0.440165638923645,False
DENND3,0.44326237,0.9860312243221035,0.44015556442720544,False
ANXA13,0.9310175,0.22350041084634348,0.44014625971830473,False
PDE7B,0.5250624,0.7025472473294988,0.4400972682940406,False
HCST,0.46393085,0.8997534921939194,0.4400631658521299,False
PRND,0.66809803,0.43385373870172556,0.44005997011020204,False
KLF12,0.44907877,0.9597370583401807,0.43994527250048276,False
PCM1,0.43993077,1.0,0.4399307668209076,False
TLR1,0.4458989,0.9728841413311422,0.43981187761965174,True
SMARCA2,0.43982536,0.9991783073130649,0.43964461823198575,False
TNFAIP8,0.4423768,0.9876746096959738,0.43964210647256335,True
RAB33A,0.46046215,0.9112571898110107,0.4395562136797065,False
ASIC1,0.5253228,0.7000821692686935,0.4395423790293932,False
FANCD2,0.44800863,0.9617912900575185,0.43936635435464866,False
RSPO4,0.7399888,0.352506162695152,0.43934785035269797,False
PLA2G4C,0.45231304,0.9408381265406738,0.43872921855561386,False
ANP32E,0.43859413,1.0,0.43859413266181946,True
IL16,0.45049852,0.9478225143796221,0.4385881365047981,False
PANK3,0.43858197,1.0,0.4385819733142853,False
CDKN2C,0.4385187,0.9995891536565324,0.4384286118266684,True
RCC2,0.43840724,1.0,0.4384072422981262,False
HCN2,0.71343416,0.37756778964667215,0.43838064225359913,False
LIX1L,0.43831578,1.0,0.4383157789707184,False
POLE2,0.4472114,0.9601479046836483,0.43820966215025065,False
EFHD2,0.4381945,1.0,0.43819451332092285,False
WDR76,0.43955734,0.9934264585045193,0.4381102374276535,False
FCGRT,0.43803462,1.0,0.43803462386131287,False
NSD3,0.43784696,1.0,0.43784695863723755,False
DDAH2,0.4376476,1.0,0.43764761090278625,False
LTBP3,0.43759274,1.0,0.4375927448272705,False
RFC3,0.4377404,0.9991783073130649,0.4375605045362765,True
ACAT1,0.4375028,1.0,0.43750280141830444,False
DNAJB4,0.43745297,1.0,0.4374529719352722,True
PHACTR2,0.44116417,0.9831552999178307,0.4374327463093186,False
PLEKHA1,0.44001815,0.9876746096959738,0.4372980419506161,False
BCL9L,0.43767545,0.9971240755957272,0.43704563237302263,False
RMND1,0.43701854,1.0,0.4370185434818268,False
FES,0.43742797,0.9979457682826622,0.43697844761071986,False
KLHL6,0.4702783,0.8627773212818406,0.4368217892924671,False
MSMO1,0.4367099,1.0,0.4367099106311798,False
RRAS,0.4366919,1.0,0.43669191002845764,False
AK8,0.47922507,0.8303204601479047,0.43667909206297545,False
ICOS,0.53258467,0.6721446179129006,0.4366364847301384,False
PTPN6,0.43668842,0.9995891536565324,0.4365987080200634,True
DLX1,0.77812785,0.31470829909613807,0.4365209149445268,False
KDM5B,0.436583,0.9995891536565324,0.43649331886182646,False
RYR1,0.5831803,0.5599835661462613,0.4364057781463267,False
NSUN7,0.4958141,0.7744453574363188,0.43632919860459335,False
BMF,0.43633637,0.9991783073130649,0.4361570642801507,True
PITPNM1,0.43640363,0.9987674609695973,0.43613460698760925,False
FKBP11,0.43630412,0.9991783073130649,0.43612483141824737,False
IVNS1ABP,0.4360687,1.0,0.43606871366500854,False
TMEM198,0.4451053,0.9589153656532456,0.4358659252060578,False
PCDHB3,0.5805375,0.5636811832374692,0.4358600312016694,False
JARID2,0.43585417,0.9995891536565324,0.4357646230026684,False
SPATA6,0.44186315,0.9724732949876747,0.4357391939644349,False
CENPK,0.45815146,0.9042728019720625,0.4356711568885949,False
SLAMF1,0.51396376,0.7173377156943304,0.43530567545617715,True
KLHL38,0.6615931,0.4326211996713229,0.43515587611634127,False
TSPAN6,0.4354669,0.9983566146261298,0.43510891848149813,False
NR1D2,0.43535048,0.9987674609695973,0.4350821017461778,False
SREBF2,0.4350256,1.0,0.4350256025791168,False
MNS1,0.44741243,0.9445357436318816,0.4348277431022326,False
EME1,0.49391243,0.7748562037797864,0.43477094374107755,False
KCND2,0.6325195,0.47206244864420704,0.43458390206786196,False
RBMS3,0.47644234,0.8319638455217748,0.43457283286470777,False
EMX1,0.7735772,0.3155299917830731,0.4345342283818486,False
CCDC34,0.43469217,0.9991783073130649,0.43451354580398893,False
PLXNA3,0.43496752,0.9975349219391948,0.43443107261123637,False
ANTKMT,0.43544888,0.9950698438783895,0.43437414317312373,False
