pathway,cohort,responders,nonresponders,mean_responder,mean_nonresponder,hedges_g,variance,auc_responder_higher,p_value,q_value_within_cohort
Myc Targets V1,Riaz,10,41,4.83038674,4.853832768292683,-0.07943911726839259,0.12445463750807557,0.551219512195122,0.6267174755809076,0.9905355168228513
Myc Targets V1,Hugo,14,12,3.2610727214285715,2.839116758333333,0.4223531529148439,0.15847820029892787,0.6547619047619048,0.18966239976414567,0.3968973029077809
Myc Targets V1,Rose,16,73,4.554641775,4.4856212575342465,0.306681082539037,0.07673916626564903,0.5642123287671232,0.4260414614153907,0.8239046568895341
Myc Targets V2,Gide,40,33,2.7695703199999997,2.6892912303030307,0.1607463353181429,0.055484997798228984,0.5098484848484849,0.8898079546111277,0.8898079546111277
Myc Targets V2,Riaz,10,41,3.7049521800000003,3.740670941463414,-0.10247547537889301,0.12449739923972607,0.4926829268292683,0.9527042056337857,0.9905355168228513
Myc Targets V2,Hugo,14,12,2.3068623571428577,1.9344042583333332,0.4011139948553702,0.15811383053000547,0.6547619047619048,0.18966239976414567,0.3968973029077809
Myc Targets V2,Rose,16,73,3.7370215625,3.6391270657534247,0.5334094650344617,0.07783383506450556,0.6446917808219178,0.07181133754975519,0.49618375715632607
Epithelial Mesenchymal Transition,Gide,40,33,2.8867115224999997,2.8123702424242425,0.12499228418882846,0.055413051930542565,0.5340909090909091,0.6218514270683582,0.7278036133956902
Epithelial Mesenchymal Transition,Riaz,10,41,3.45374763,3.4462733487804877,0.01347183015126851,0.12439209584333315,0.4902439024390244,0.9338231202817404,0.9905355168228513
Epithelial Mesenchymal Transition,Hugo,14,12,1.9226840785714285,2.0420718916666663,-0.14273195861797605,0.15518633001213233,0.5119047619047619,0.9385028847784713,0.9385028847784713
Epithelial Mesenchymal Transition,Rose,16,73,3.78045975,3.9725710123287676,-0.4153537861546874,0.07719011730752098,0.3758561643835616,0.1226154656154415,0.49618375715632607
Inflammatory Response,Gide,40,33,1.9199348335,1.7036061372727274,0.523516307460057,0.05723309596624589,0.6575757575757576,0.021454802790431753,0.21454802790431754
Inflammatory Response,Riaz,10,41,2.6872650200000003,2.503200397560976,0.40251829143423945,0.12604351915692003,0.6,0.3366315420178905,0.9905355168228513
Inflammatory Response,Hugo,14,12,1.24192285,1.1107888233333334,0.22150988545668504,0.1557841262068013,0.6011904761904762,0.3960658207089378,0.4213466177754657
Inflammatory Response,Rose,16,73,2.82448321875,2.8266078630136984,-0.0070179524644389205,0.07619891319248512,0.5042808219178082,0.961652838227071,0.9957375828846027
Xenobiotic Metabolism,Gide,40,33,2.1460217024999997,2.0464595818181817,0.2502836920227423,0.05574417063044252,0.5606060606060606,0.37823105905780674,0.7278036133956902
Xenobiotic Metabolism,Riaz,10,41,2.90386958,2.7844701219512196,0.3344022979507769,0.1255313142787121,0.5341463414634147,0.7487555398989953,0.9905355168228513
Xenobiotic Metabolism,Hugo,14,12,1.6172624785714282,1.3302270783333334,0.46051876042593265,0.1591801866099097,0.6726190476190477,0.14268048429722283,0.3968973029077809
Xenobiotic Metabolism,Rose,16,73,3.0029895937499997,3.0093245616438353,-0.047280287144215935,0.07621147741027619,0.4974315068493151,0.978690347050305,0.9957375828846027
Fatty Acid Metabolism,Gide,40,33,2.81723311,2.716628563636364,0.2186686200819798,0.055639762453794796,0.5643939393939394,0.3489750576542936,0.7278036133956902
Fatty Acid Metabolism,Riaz,10,41,3.65909316,3.637841082926829,0.10583603343849356,0.12450454253482672,0.4853658536585366,0.8961829295347554,0.9905355168228513
Fatty Acid Metabolism,Hugo,14,12,2.1384056071428574,1.7760522583333334,0.4862094174583392,0.15968689637909597,0.7023809523809523,0.08487874677553436,0.3968973029077809
Fatty Acid Metabolism,Rose,16,73,3.48640610625,3.468225997260274,0.10420770904432683,0.07626103960034415,0.5291095890410958,0.7203989968984037,0.9957375828846027
Oxidative Phosphorylation,Gide,40,33,3.4179399850000003,3.303931890909091,0.2237999812935661,0.055655751652516225,0.5696969696969697,0.3105037220544392,0.7278036133956902
Oxidative Phosphorylation,Riaz,10,41,4.45309034,4.484131851219512,-0.19050976728113328,0.12476059054967893,0.44878048780487806,0.6267174755809076,0.9905355168228513
Oxidative Phosphorylation,Hugo,14,12,3.0317353500000004,2.548335658333333,0.5203251225138495,0.1604022846185517,0.7380952380952381,0.042188009531505,0.3968973029077809
Oxidative Phosphorylation,Rose,16,73,4.10549273125,4.081767772602739,0.117995190077895,0.07627864660182261,0.5179794520547946,0.8266273837518556,0.9957375828846027
Glycolysis,Gide,40,33,2.5024670275,2.4120574484848487,0.21666681315477462,0.055633625429246124,0.5507575757575758,0.46107905126062587,0.7278036133956902
Glycolysis,Riaz,10,41,3.26780209,3.3067470609756104,-0.17326584263739422,0.1246965811700395,0.43414634146341463,0.5295460123379685,0.9905355168228513
Glycolysis,Hugo,14,12,1.9038625642857145,1.6903806641666668,0.2873153236664475,0.15648169841218718,0.625,0.29169697358948865,0.3968973029077809
Glycolysis,Rose,16,73,3.48783664375,3.5215431027397264,-0.25334179862755263,0.07656749259061758,0.4383561643835616,0.4449085147203484,0.8239046568895341
Reactive Oxygen Species Pathway,Gide,40,33,2.886132305,2.7456681969696968,0.3011332321244804,0.055941630468450985,0.603030303030303,0.13313537508811732,0.5667599911527558
Reactive Oxygen Species Pathway,Riaz,10,41,3.80689339,3.7479800878048786,0.2701220152847442,0.12513479393449506,0.573170731707317,0.48400682238699655,0.9905355168228513
Reactive Oxygen Species Pathway,Hugo,14,12,2.4829524857142857,2.146946708333333,0.3853767864736661,0.1578559728359208,0.6607142857142857,0.1728784373144301,0.3968973029077809
Reactive Oxygen Species Pathway,Rose,16,73,4.028039225000001,4.033782580821918,-0.03954349842496426,0.0762076168511684,0.4820205479452055,0.8266273837518556,0.9957375828846027
p53 Pathway,Gide,40,33,2.410588315,2.3101947348484853,0.23554113849311345,0.055693731908119264,0.5446969696969697,0.516725635623617,0.7278036133956902
p53 Pathway,Riaz,10,41,3.2815580100000004,3.3396780804878046,-0.2572003003674414,0.1250652642545727,0.3926829268292683,0.30206478993709285,0.9905355168228513
p53 Pathway,Hugo,14,12,2.06121705,1.7319062833333334,0.4238354533204925,0.15850433166797534,0.6845238095238095,0.11670603415252188,0.3968973029077809
p53 Pathway,Rose,16,73,3.75355004375,3.8098135616438342,-0.3263170077811505,0.07681060019197046,0.3758561643835616,0.1226154656154415,0.49618375715632607
UV Response Up,Gide,40,33,2.37969459,2.2550448272727275,0.31881015209532154,0.05601880433879821,0.6090909090909091,0.11171717581575646,0.5585858790787823
UV Response Up,Riaz,10,41,3.3071994599999996,3.3191058317073177,-0.0567704030882977,0.12442313041944726,0.4585365853658537,0.6954615295232163,0.9905355168228513
UV Response Up,Hugo,14,12,2.0035244357142856,1.73264295,0.3597768330665483,0.1574585582954755,0.6488095238095238,0.2076174111548459,0.3968973029077809
UV Response Up,Rose,16,73,3.5526937875,3.554887163013699,-0.02220343615249738,0.07620146342765859,0.4845890410958904,0.8516794061014448,0.9957375828846027
UV Response Dn,Gide,40,33,2.8541148200000004,2.7987389121212125,0.10930604507069373,0.05538716982055845,0.5325757575757576,0.6375975014669288,0.7278036133956902
UV Response Dn,Riaz,10,41,3.07178743,3.067011482926829,0.01516817292081595,0.12439259159090592,0.47317073170731705,0.8032778416931206,0.9905355168228513
UV Response Dn,Hugo,14,12,1.5247456285714287,1.3679700441666667,0.20949698402476738,0.15567625864347714,0.6130952380952381,0.3413316805006916,0.3968973029077809
UV Response Dn,Rose,16,73,3.75398340625,3.8347028575342472,-0.37129331726877546,0.07699092167404636,0.4178082191780822,0.30756010356678865,0.8239046568895341
Angiogenesis,Gide,40,33,2.707130255,2.6750897230303035,0.059859392968962186,0.05532826373209096,0.5143939393939394,0.8375331518877109,0.8546256651915418
Angiogenesis,Riaz,10,41,3.42439818,3.3915664707317075,0.06334906438538693,0.12443119394283192,0.5170731707317073,0.8774447617214115,0.9905355168228513
Angiogenesis,Hugo,14,12,1.8505568357142859,1.884500075,-0.043075632660605954,0.15480056122292793,0.5357142857142857,0.7772615629718961,0.7931240438488735
Angiogenesis,Rose,16,73,3.65167075,3.7774298520547944,-0.3925755402709256,0.07708435171640589,0.3852739726027397,0.15376439542205017,0.5125479847401672
heme Metabolism,Gide,40,33,2.55592988,2.4468227439393937,0.24294442669227043,0.055718678151346054,0.5704545454545454,0.30524551722844184,0.7278036133956902
heme Metabolism,Riaz,10,41,3.15391433,3.18682247804878,-0.14802948661561668,0.12461384317700722,0.36585365853658536,0.19601620744285742,0.9905355168228513
heme Metabolism,Hugo,14,12,1.7560590214285716,1.4378116916666663,0.4486608327592502,0.15895558273799276,0.6845238095238095,0.11670603415252188,0.3968973029077809
heme Metabolism,Rose,16,73,3.35643529375,3.389264689041096,-0.26785081367586666,0.07661095231162322,0.4323630136986301,0.40162579729330816,0.8239046568895341
Coagulation,Gide,40,33,2.317385545,2.18957136969697,0.2975264460569056,0.05592642457136307,0.5795454545454546,0.24676009351048322,0.725764980913186
Coagulation,Riaz,10,41,2.9636538299999997,2.8981122414634144,0.14502921802442512,0.12460487118897756,0.5170731707317073,0.8774447617214115,0.9905355168228513
Coagulation,Hugo,14,12,1.8201241285714285,1.625087041666667,0.31929501667663446,0.15688584867179087,0.6369047619047619,0.2471599732119072,0.3968973029077809
Coagulation,Rose,16,73,3.0037803375000003,3.0734723123287675,-0.2980186222603107,0.07670906174166409,0.3792808219178082,0.13331660752148916,0.49618375715632607
IL-2/STAT5 Signaling,Gide,40,33,2.2564478575,2.076436384848485,0.4394280498409651,0.0566628684085728,0.6303030303030303,0.05731932609884994,0.3582457881178121
IL-2/STAT5 Signaling,Riaz,10,41,3.03755204,2.9486878780487804,0.2725009822324536,0.12514796620159874,0.5756097560975609,0.46931307672734435,0.9905355168228513
IL-2/STAT5 Signaling,Hugo,14,12,1.6064209642857143,1.4180128749999998,0.2813438411314374,0.1564109538648754,0.6190476190476191,0.31587447983048955,0.3968973029077809
