token_id,gene_symbol
964,ARSI
965,ARSJ
966,ARSK
967,ART1
968,ART3
969,ART4
970,ART5
971,ARTN
972,ARV1
973,ARVCF
974,ARX
975,AS3MT
976,ASAH1
977,ASAH2
978,ASAP1
979,ASAP2
980,ASAP3
981,ASB1
982,ASB10
983,ASB11
984,ASB12
985,ASB13
986,ASB14
987,ASB15
988,ASB16
989,ASB17
990,ASB18
991,ASB2
992,ASB4
993,ASB5
994,ASB6
995,ASB7
996,ASB8
997,ASB9
998,ASCC1
999,ASCC2
1000,ASCC3
1001,ASCL1
1002,ASCL2
1003,ASCL3
1004,ASCL4
1005,ASCL5
1006,ASF1A
1007,ASF1B
1008,ASGR1
1009,ASGR2
1010,ASH1L
1011,ASH2L
1012,ASIC1
1013,ASIC2
1014,ASIC3
1015,ASIC4
1016,ASIC5
1017,ASL
1018,ASMT
1019,ASNS
1020,ASNSD1
1021,ASPA
1022,ASPDH
1023,ASPG
1024,ASPH
1025,ASPHD1
1026,ASPHD2
1027,ASPM
1028,ASPN
1029,ASPRV1
1030,ASPSCR1
1031,ASRGL1
1032,ASS1
1033,ASTE1
1034,ASTL
1035,ASTN1
1036,ASTN2
1037,ASXL1
1038,ASXL2
1039,ASXL3
1040,ASZ1
1041,ATAD1
1042,ATAD2
1043,ATAD2B
1044,ATAD5
1045,ATAT1
1046,ATCAY
1047,ATE1
1048,ATF1
1049,ATF2
1050,ATF3
1051,ATF4
1052,ATF5
1053,ATF6
1054,ATF6B
1055,ATF7
1056,ATF7IP
1057,ATF7IP2
1058,ATG10
1059,ATG101
1060,ATG12
1061,ATG13
1062,ATG14
1063,ATG16L1
1064,ATG16L2
1065,ATG2A
1066,ATG2B
1067,ATG3
1068,ATG4A
1069,ATG4B
1070,ATG4C
1071,ATG4D
1072,ATG5
1073,ATG7
1074,ATG9A
1075,ATG9B
1076,ATIC
1077,ATL1
1078,ATL2
1079,ATL3
1080,ATM
1081,ATMIN
1082,ATN1
1083,ATOH1
1084,ATOH7
1085,ATOH8
1086,ATOX1
1087,ATP10A
1088,ATP10B
1089,ATP10D
1090,ATP11A
1091,ATP11B
1092,ATP11C
1093,ATP12A
1094,ATP13A1
1095,ATP13A2
1096,ATP13A3
1097,ATP13A4
1098,ATP13A5
1099,ATP1A1
1100,ATP1A2
1101,ATP1A3
1102,ATP1A4
1103,ATP1B1
1104,ATP1B2
1105,ATP1B3
1106,ATP1B4
1107,ATP23
1108,ATP2A1
1109,ATP2A2
1110,ATP2A3
1111,ATP2B1
1112,ATP2B2
1113,ATP2B3
1114,ATP2B4
1115,ATP2C1
1116,ATP2C2
1117,ATP4A
1118,ATP4B
1119,ATP5F1A
1120,ATP5F1B
1121,ATP5F1C
1122,ATP5F1D
1123,ATP5IF1
1124,ATP5MC1
1125,ATP5MC2
1126,ATP5MC3
1127,ATP5ME
1128,ATP5MF
1129,ATP5MJ
1130,ATP5MK
1131,ATP5PB
1132,ATP5PD
1133,ATP5PF
1134,ATP5PO
1135,ATP6AP1
1136,ATP6AP1L
1137,ATP6AP2
1138,ATP6V0A1
1139,ATP6V0A2
1140,ATP6V0A4
1141,ATP6V0B
1142,ATP6V0C
1143,ATP6V0D1
1144,ATP6V0D2
1145,ATP6V0E2
1146,ATP6V1A
1147,ATP6V1B1
1148,ATP6V1B2
1149,ATP6V1C1
1150,ATP6V1C2
1151,ATP6V1D
1152,ATP6V1E1
1153,ATP6V1E2
1154,ATP6V1F
1155,ATP6V1G1
1156,ATP6V1G2
1157,ATP6V1G3
1158,ATP6V1H
1159,ATP7A
1160,ATP7B
1161,ATP8A1
1162,ATP8A2
1163,ATP8B1
1164,ATP8B2
1165,ATP8B3
1166,ATP8B4
1167,ATP9A
1168,ATP9B
1169,ATPAF1
1170,ATPAF2
1171,ATPSCKMT
1172,ATR
1173,ATRAID
1174,ATRIP
1175,ATRN
1176,ATRNL1
1177,ATRX
1178,ATXN1
1179,ATXN10
1180,ATXN1L
1181,ATXN2
1182,ATXN2L
1183,ATXN3
1184,ATXN7
1185,ATXN7L1
1186,ATXN7L2
1187,ATXN7L3
1188,ATXN7L3B
1189,AUH
1190,AUNIP
1191,AUP1
1192,AURKA
1193,AURKAIP1
1194,AURKB
1195,AURKC
1196,AUTS2
1197,AVEN
1198,AVIL
1199,AVL9
1200,AVP
1201,AVPI1
1202,AVPR1A
1203,AVPR1B
1204,AVPR2
1205,AWAT1
1206,AWAT2
1207,AXDND1
1208,AXIN1
1209,AXIN2
1210,AXL
1211,AZGP1
1212,AZI2
1213,AZIN1
1214,AZIN2
1215,B2M
1216,B3GALNT1
1217,B3GALNT2
1218,B3GALT1
1219,B3GALT2
1220,B3GALT4
1221,B3GALT5
1222,B3GALT6
1223,B3GALT9
1224,B3GAT1
1225,B3GAT2
1226,B3GAT3
1227,B3GLCT
1228,B3GNT2
1229,B3GNT3
1230,B3GNT4
1231,B3GNT5
1232,B3GNT6
1233,B3GNT7
1234,B3GNT8
1235,B3GNT9
1236,B4GALNT1
1237,B4GALNT2
1238,B4GALNT3
1239,B4GALNT4
1240,B4GALT1
1241,B4GALT2
1242,B4GALT3
1243,B4GALT4
1244,B4GALT5
1245,B4GALT6
1246,B4GALT7
1247,B4GAT1
1248,B9D1
1249,B9D2
1250,BAALC
1251,BAAT
1252,BABAM1
1253,BABAM2
1254,BACE1
1255,BACE2
1256,BACH1
1257,BACH2
1258,BAD
1259,BAG1
1260,BAG2
1261,BAG3
1262,BAG4
1263,BAG5
1264,BAG6
1265,BAHCC1
1266,BAHD1
1267,BAIAP2
1268,BAIAP2L1
1269,BAIAP2L2
1270,BAIAP3
