method,scope,n,macro_auroc,auroc_ci_low,auroc_ci_high,macro_auprc,auprc_ci_low,auprc_ci_high,macro_brier,bootstrap_replicates
Raw_common_measured__project_out,overlap_clean_evaluable_cohorts,213,0.6552689018484208,0.5656792870232563,0.7423596578042367,0.4385643368509409,0.37882676304202867,0.5796406868919854,0.25434482231132916,2000
Raw_common_measured__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6659138579243825,0.5790097738578569,0.7508277869321344,0.44381735209214423,0.3941132435200776,0.5765217900692812,0.26660735975031274,2000
Raw_common_measured__unadapted,overlap_clean_evaluable_cohorts,213,0.6787476755527205,0.5909706792701488,0.7683496023549898,0.46540604954405634,0.3974695926333173,0.6013250036939503,0.2632947249462369,2000
Txn_Jatin_OSDR_LoRA__completed__DANN,overlap_clean_evaluable_cohorts,213,0.5839958219009339,0.49268293526646345,0.6792615882766859,0.4230251815406257,0.3556046885617279,0.5441853850957823,0.32712269296795443,2000
Txn_Jatin_OSDR_LoRA__completed__project_out,overlap_clean_evaluable_cohorts,213,0.660239675404226,0.5692928765604592,0.7445958435845254,0.43779862902138006,0.3737376813190097,0.570179744774935,0.25425405892603653,2000
Txn_Jatin_OSDR_LoRA__completed__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6711575747451123,0.5848896942191714,0.7567244182132045,0.44613168933301806,0.39521045050937886,0.5812718284500743,0.2695372780712334,2000
Txn_Jatin_OSDR_LoRA__completed__unadapted,overlap_clean_evaluable_cohorts,213,0.6767153661573976,0.5904966892446011,0.7608105191574954,0.46796026685887276,0.40247234309715957,0.592814764361546,0.27254195782047885,2000
Txn_Jatin__completed__DANN,overlap_clean_evaluable_cohorts,213,0.5959860043805918,0.5022159607687298,0.6934719870354058,0.4293877827604615,0.36388502007921253,0.558252595915673,0.3257137970700703,2000
Txn_Jatin__completed__project_out,overlap_clean_evaluable_cohorts,213,0.6607795715254786,0.5723328855291978,0.7500714134748757,0.4438509480507875,0.38057592491078573,0.577832986983718,0.24891798500977638,2000
Txn_Jatin__completed__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6976069161376546,0.6068487930170399,0.7779712859044841,0.49504726084045964,0.42229775905803624,0.62397749719263,0.3531763170088193,2000
Txn_Jatin__completed__unadapted,overlap_clean_evaluable_cohorts,213,0.6702871515016521,0.5767777328497133,0.7579653092063299,0.48004003182252103,0.4066914428867108,0.6011715666772831,0.2619794751592016,2000
